table_name,column_name,semantic_role,is_boolean,is_text_field
customers,customer_id,identifier,False,False
customers,signup_date,temporal_field,False,False
customers,segment,dimension,False,False
customers,region,dimension,False,False
customers,acquisition_channel,dimension,False,False
transactions,transaction_id,identifier,False,False
transactions,customer_id,identifier,False,False
transactions,transaction_date,temporal_field,False,False
transactions,revenue,metric,False,False
transactions,cost,metric,False,False
transactions,product_type,dimension,False,False
marketing_spend,date,temporal_field,False,False
marketing_spend,acquisition_channel,dimension,False,False
marketing_spend,spend,metric,False,False
